Satellite,Latitude,Longitude,Altitude (km),Coverage Area (km^2)
STARLINK-2363,2.373065346477716,115.32910191451728,547.4371113658231,161535.12525348426
STARLINK-2364,13.800190641797768,124.15074526115654,546.8590760649663,161194.17756538736
STARLINK-2365,32.91266545601308,142.51037974536314,548.4200145489859,162115.70673542097
STARLINK-2367,-12.665817618927992,123.89587140173826,551.4164716586262,163892.08189185077
STARLINK-2368,-39.024105829626436,96.24530282366786,560.1389343836028,169118.07387788547
STARLINK-2369,-33.411939029752,-26.869477733454687,557.4346703788448,167489.0639712602
STARLINK-2370,-42.38842579154177,80.66965153525747,561.7344255767973,170082.8726647297
STARLINK-2371,-45.769393415250704,88.60227639223855,564.0010320600811,171458.21551496448
STARLINK-2372,46.66485077868074,176.0073803989333,551.5998221545389,164001.09093282296
STARLINK-2374,18.462979319275707,148.50687270241798,548.0565097834365,161900.87029467864
STARLINK-2375,-49.27423105199229,73.23793535890532,564.1817560141305,171568.1145025547
STARLINK-2378,51.5223261326023,-176.19145597640343,551.9700753115245,164221.3313990799
STARLINK-2397,33.022968499634885,152.65440350780509,548.5646272225082,162201.21447079518
STARLINK-2398,1.951867105674011,125.02709378478282,547.5113596994048,161578.94591146862
STARLINK-2405,52.89190844249738,-145.02098159818235,552.9757687271332,164820.30144138305
STARLINK-2087,33.558817431529974,-151.69263398598963,547.6873748081049,161682.85209260602
STARLINK-1647,-49.12630180256322,128.75185441182674,563.4836903968258,171143.8125573176
STARLINK-2325,-52.682560091557136,22.475973746478584,565.6750660742123,172477.55000699862
STARLINK-2312,21.413177349008514,-93.36950735158406,546.5831240869904,161031.5373861078
STARLINK-2303,-7.928582143176402,-177.4212833743427,547.964839526964,161846.71437165808
STARLINK-2317,52.45713872593527,-164.68561943483343,554.314592304964,165619.36876887718
STARLINK-2308,43.667271745784205,169.29462782812047,551.2923745523915,163818.32187366474
STARLINK-2305,30.462454449646394,-107.52621445286144,547.5794173025731,161619.1180797689
STARLINK-2307,28.721087922135514,122.76710728813437,548.7729359785859,162324.4245604027
STARLINK-2279,-17.696035971918782,99.76520698418624,552.1467683924582,164326.487162512
STARLINK-2229,-34.76096460639824,-40.07382660040681,558.0804744396979,167877.37054639249
STARLINK-2273,-1.7497643049313563,-30.118666778870846,548.2913920752204,162039.67275607274
STARLINK-2290,13.233439015084212,-26.56782093557635,545.9421649580694,160654.0865967587
STARLINK-2309,48.05158396384413,-107.44235059987726,551.737443169136,164082.93581806548
STARLINK-2260,-48.23762506323705,-69.24054512466523,563.6971164176243,171273.48254048883
STARLINK-2266,-52.79060052356424,63.66892173836851,565.5287423631879,172388.331681541
STARLINK-2296,-31.71212138597755,-13.661678250011327,556.6037664911008,166990.1226551704
STARLINK-2270,25.27072344146491,-106.9118008314943,546.7254100958932,161115.387457715
STARLINK-2265,-2.1291252012593347,112.28815496793231,548.2004186728307,161985.90544323335
STARLINK-2263,48.78854858602313,-112.78039903242434,550.1784281003593,163156.96509976042
STARLINK-2271,48.63464695282922,151.7236798707164,552.2218870661105,164371.20290896948
STARLINK-2153,45.74390246216135,-61.58219741195017,550.1756510153609,163155.3179991346
STARLINK-2226,37.91308833883636,-135.81425826207578,548.0225481484614,161880.80576556674
STARLINK-2243,16.604350845631412,-39.32623995253705,545.9096067030488,160634.92537020918
STARLINK-2283,48.973270458067894,178.00610570219106,551.5127465789927,163949.3165788429
STARLINK-2284,43.09246178016987,147.8968919562405,534.3111693740631,153881.71143329854
